0,0,1.33
0,1,1.2
0,2,1.11
0,3,1.27
0,4,1.35
0,5,1.42
0,6,1.27
0,7,1.19
0,8,1.13
0,9,1.32
0,10,1.34
0,11,1.37
0,12,1.21
0,13,1.19
0,14,1.21
0,15,1.37
1,0,1.43
1,1,1.4
1,2,1.22
1,3,1.22
1,4,1.31
1,5,1.47
1,6,1.43
1,7,1.3
1,8,1.17
1,9,1.3
1,10,1.39
1,11,1.45
1,12,1.34
1,13,1.28
1,14,1.21
1,15,1.35
2,0,1.31
2,1,1.37
2,2,1.23
2,3,1.19
2,4,1.17
2,5,1.34
2,6,1.37
2,7,1.35
2,8,1.14
2,9,1.15
2,10,1.26
2,11,1.4
2,12,1.34
2,13,1.26
2,14,1.16
2,15,1.23
3,0,1.38
3,1,1.45
3,2,1.34
3,3,1.3
3,4,1.21
3,5,1.33
3,6,1.41
3,7,1.49
3,8,1.3
3,9,1.23
3,10,1.2
3,11,1.42
3,12,1.44
3,13,1.41
3,14,1.24
3,15,1.24
4,0,1.24
4,1,1.39
4,2,1.33
4,3,1.28
4,4,1.19
4,5,1.21
4,6,1.26
4,7,1.38
4,8,1.34
4,9,1.25
4,10,1.1
4,11,1.23
4,12,1.35
4,13,1.43
4,14,1.25
4,15,1.17
5,0,1.17
5,1,1.4
5,2,1.43
5,3,1.42
5,4,1.25
5,5,1.29
5,6,1.3
5,7,1.42
5,8,1.4
5,9,1.41
5,10,1.25
5,11,1.21
5,12,1.3
5,13,1.48
5,14,1.45
5,15,1.35
6,0,1.1
6,1,1.21
6,2,1.33
6,3,1.41
6,4,1.27
6,5,1.2
6,6,1.17
6,7,1.32
6,8,1.32
6,9,1.39
6,10,1.25
6,11,1.2
6,12,1.15
6,13,1.34
6,14,1.36
6,15,1.36
7,0,1.26
7,1,1.21
7,2,1.29
7,3,1.48
7,4,1.45
7,5,1.33
7,6,1.2
7,7,1.31
7,8,1.39
7,9,1.44
7,10,1.36
7,11,1.33
7,12,1.24
7,13,1.37
7,14,1.38
7,15,1.47
8,0,1.27
8,1,1.19
8,2,1.12
8,3,1.31
8,4,1.37
8,5,1.37
8,6,1.17
8,7,1.17
8,8,1.24
8,9,1.38
8,10,1.33
8,11,1.28
8,12,1.14
8,13,1.19
8,14,1.29
8,15,1.38
9,0,1.35
9,1,1.27
9,2,1.17
9,3,1.28
9,4,1.36
9,5,1.47
9,6,1.33
9,7,1.24
9,8,1.15
9,9,1.37
9,10,1.42
9,11,1.47
9,12,1.25
9,13,1.22
9,14,1.27
9,15,1.44
10,0,1.32
10,1,1.29
10,2,1.17
10,3,1.19
10,4,1.27
10,5,1.37
10,6,1.34
10,7,1.27
10,8,1.15
10,9,1.22
10,10,1.3
10,11,1.39
10,12,1.3
10,13,1.22
10,14,1.13
10,15,1.32
11,0,1.4
11,1,1.43
11,2,1.25
11,3,1.21
11,4,1.26
11,5,1.44
11,6,1.44
11,7,1.38
11,8,1.18
11,9,1.21
11,10,1.35
11,11,1.49
11,12,1.36
11,13,1.27
11,14,1.17
11,15,1.32
12,0,1.34
12,1,1.41
12,2,1.22
12,3,1.16
12,4,1.15
12,5,1.35
12,6,1.35
12,7,1.33
12,8,1.17
12,9,1.16
12,10,1.22
12,11,1.36
12,12,1.33
12,13,1.3
12,14,1.17
12,15,1.24
13,0,1.34
13,1,1.43
13,2,1.38
13,3,1.3
13,4,1.21
13,5,1.33
13,6,1.39
13,7,1.5
13,8,1.3
13,9,1.21
13,10,1.22
13,11,1.41
13,12,1.46
13,13,1.43
13,14,1.21
13,15,1.22
14,0,1.24
14,1,1.4
14,2,1.36
14,3,1.23
14,4,1.11
14,5,1.26
14,6,1.34
14,7,1.43
14,8,1.26
14,9,1.17
14,10,1.13
14,11,1.32
14,12,1.34
14,13,1.37
14,14,1.18
14,15,1.21
15,0,1.29
15,1,1.44
15,2,1.44
15,3,1.38
15,4,1.24
15,5,1.27
15,6,1.36
15,7,1.48
15,8,1.41
15,9,1.3
15,10,1.21
15,11,1.32
15,12,1.4
15,13,1.5
15,14,1.35
15,15,1.3
