Electrode_i,Electrode_j,Voltage_V,Reciprocity_Error_V
4,14,1.3,0.11
5,14,1.21,0.22
6,14,1.33,0.15
7,14,1.39,0.0499999999999998
8,14,1.5,0.13
9,14,1.3,0.11
10,14,1.21,0.01
11,14,1.22,0
12,14,1.41,0.14
13,14,1.46,0.16
14,14,1.43,0
15,14,1.21,0.16
16,14,1.22,0.28
1,15,1.24,0.03
2,15,1.4,0.19
3,15,1.36,0.2
4,15,1.23,0.01
5,15,1.11,0.14
6,15,1.26,0.19
7,15,1.34,0.02
8,15,1.43,0.05
9,15,1.26,0.03
10,15,1.17,0.1
11,15,1.13,0
12,15,1.32,0.15
13,15,1.34,0.17
14,15,1.37,0.16
15,15,1.18,0
16,15,1.21,0.14
1,16,1.29,0.0800000000000001
2,16,1.44,0.0899999999999999
3,16,1.44,0.21
4,16,1.38,0.14
5,16,1.24,0.0700000000000001
6,16,1.27,0.0800000000000001
7,16,1.36,0
8,16,1.48,0.01
9,16,1.41,0.03
10,16,1.3,0.14
11,16,1.21,0.11
12,16,1.32,0
13,16,1.4,0.16
14,16,1.5,0.28
15,16,1.35,0.14
16,16,1.3,0
